type,table_index,row_index,column_0,index,text,url,title,src,alt
link,,,,98.0,"Garbnoire 10 Meter 0.5 Inch PVC Yellow Water Pipe| Lightweight, Durable & Flexible| Hose with Accessories Connector & Clamps| Watering Garden, Cleaning, Outdoor-Indoor Use (10 Meter (32.80 Feet))",/sspa/click?ie=UTF8&spc=MTo3MDE1MTE4ODQzNjAwNzQ2OjE3NjUzMDUxNDk6c3BfYXRmOjMwMDY3MDkxMjUyMDkzMjo6MDo6&url=%2FLightweight-Hose-Accessories-Connector-Outdoor-Indoor%2Fdp%2FB0794TNVDQ%2Fref%3Dsr_1_1_sspa%3Fadgrpid%3D155007102209%26dib%3DeyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA%26dib_tag%3Dse%26hvadid%3D668998325980%26hvdev%3Dc%26hvlocphy%3D1007796%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D72425082959793058%26hvtargid%3Dkwd-424638816920%26hydadcr%3D6068_2300330%26keywords%3Damazon%2Bgarden%2Bwater%2Bhoses%26mcid%3D1b53e8db52953a5590d287c6537bac98%26qid%3D1765305149%26sr%3D8-1-spons%26aref%3Do3EmaROM8w%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=o3EmaROM8w&sp_cr=ZAZ,,,
link,,,,106.0,"Cinagro 10 Meter 0.5 inch Heavy Duty 3 Layered Braided PVC Garden Hose Pipe with 8 Mode Spray Gun, Tap Adapter & 3 Clamps, Water Pipe for Garden, Car Washing, Garden Pipe for Home (32.8 feet, Green)",/sspa/click?ie=UTF8&spc=MTo3MDE1MTE4ODQzNjAwNzQ2OjE3NjUzMDUxNDk6c3BfYXRmOjMwMDEwOTc4OTY0MjczMjo6MDo6&url=%2FCINAGROTM-Layered-Braided-Sprayer-Connect%2Fdp%2FB07KDH52D5%2Fref%3Dsr_1_2_sspa%3Fadgrpid%3D155007102209%26dib%3DeyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA%26dib_tag%3Dse%26hvadid%3D668998325980%26hvdev%3Dc%26hvlocphy%3D1007796%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D72425082959793058%26hvtargid%3Dkwd-424638816920%26hydadcr%3D6068_2300330%26keywords%3Damazon%2Bgarden%2Bwater%2Bhoses%26mcid%3D1b53e8db52953a5590d287c6537bac98%26qid%3D1765305149%26sr%3D8-2-spons%26aref%3DoxxAZ66YhC%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&aref=oxxAZ66YhC&sp_cr=ZAZ,,,
link,,,,137.0,"Amazon Brand - Solimo 10 Meter - 0.5 Inch Width Heavy Duty PVC Water Hose Pipe with Connectors & Clamps – Ideal for Garden, Car Wash & Home Cleaning",/Amazon-Brand-Solimo-Connectors-Cleaning/dp/B0F5MQXKY5/ref=sr_1_7?adgrpid=155007102209&dib=eyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA&dib_tag=se&hvadid=668998325980&hvdev=c&hvlocphy=1007796&hvnetw=g&hvqmt=e&hvrand=72425082959793058&hvtargid=kwd-424638816920&hydadcr=6068_2300330&keywords=amazon+garden+water+hoses&mcid=1b53e8db52953a5590d287c6537bac98&qid=1765305149&sr=8-7,,,
link,,,,143.0,"Garbnoire 10 Meter 0.5 Inch PVC Yellow Water Pipe| Lightweight, Durable & Flexible| Hose with Accessories Connector & Clamps| Watering Garden, Cleaning, Outdoor-Indoor Use (10 Meter (32.80 Feet))",/sspa/click?ie=UTF8&spc=MTo1NDU4NDQxOTcwNzMzMjEwOjE3NjUzMDUxNDk6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDY3MDkxMjUyMDkzMjo6MDo6&url=%2FLightweight-Hose-Accessories-Connector-Outdoor-Indoor%2Fdp%2FB0794TNVDQ%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fadgrpid%3D155007102209%26content-id%3Damzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%253Aamzn1.sym.0629fcb0-94ed-4eba-9abe-6c93c227c465%26cv_ct_cx%3Damazon%2Bgarden%2Bwater%2Bhoses%26hvadid%3D668998325980%26hvdev%3Dc%26hvlocphy%3D1007796%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D72425082959793058%26hvtargid%3Dkwd-424638816920%26hydadcr%3D6068_2300330%26keywords%3Damazon%2Bgarden%2Bwater%2Bhoses%26mcid%3D1b53e8db52953a5590d287c6537bac98%26pd_rd_i%3DB0794TNVDQ%26pd_rd_r%3Da650c94e-a272-4003-a78d-acf123b47dad%26pd_rd_w%3DiQFGV%26pd_rd_wg%3DJ2PoS%26pf_rd_p%3D0629fcb0-94ed-4eba-9abe-6c93c227c465%26pf_rd_r%3DJ31VJCJBFRA4NBPQYJ64%26qid%3D1765305149%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26aref%3Do3EmaROM8w%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&aref=o3EmaROM8w&sp_cr=ZAZ,,,
link,,,,299.0,"IFFCO URBAN GARDENS - Hose Pipe 10 Meter - 3-Layered Braided, UV Protective Garden Hose for Gardening - Kink Resistance, PVC Pipe - Multipurpose Use",/sspa/click?ie=UTF8&spc=MTo3MDE1MTE4ODQzNjAwNzQ2OjE3NjUzMDUxNDk6c3BfbXRmOjMwMDUzNzY0NzQwNTkzMjo6MDo6&url=%2FIFFCO-URBAN-GARDENS-Protective-Multipurpose%2Fdp%2FB0F1D8NVXG%2Fref%3Dsr_1_24_sspa%3Fadgrpid%3D155007102209%26dib%3DeyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA%26dib_tag%3Dse%26hvadid%3D668998325980%26hvdev%3Dc%26hvlocphy%3D1007796%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D72425082959793058%26hvtargid%3Dkwd-424638816920%26hydadcr%3D6068_2300330%26keywords%3Damazon%2Bgarden%2Bwater%2Bhoses%26mcid%3D1b53e8db52953a5590d287c6537bac98%26qid%3D1765305149%26sr%3D8-24-spons%26aref%3DvSQuaw8iN5%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=vSQuaw8iN5&sp_cr=ZAZ,,,
link,,,,321.0,"Mashki 1/2 Inch 3-Layered Braided Water Hose Pipe With 7 Pattern Water Sprayer For Gardening, Car Washing, Home Use Etc (10 Meter (32.5 Feet))",/Mashki-3-Layered-Braided-Pattern-Gardening/dp/B0CYCPTKNG/ref=sr_1_28?adgrpid=155007102209&dib=eyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA&dib_tag=se&hvadid=668998325980&hvdev=c&hvlocphy=1007796&hvnetw=g&hvqmt=e&hvrand=72425082959793058&hvtargid=kwd-424638816920&hydadcr=6068_2300330&keywords=amazon+garden+water+hoses&mcid=1b53e8db52953a5590d287c6537bac98&qid=1765305149&sr=8-28,,,
link,,,,393.0,"Mashki 1/2 Inch Double Coated Water Pipe With Water Spray Gun For Gardening, Car Washing, Home Use Etc (10 Meter (32.5 Feet))",/Mashki-Double-Spray-Gun-Gardening/dp/B0DV3QJW71/ref=sr_1_43?adgrpid=155007102209&dib=eyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA&dib_tag=se&hvadid=668998325980&hvdev=c&hvlocphy=1007796&hvnetw=g&hvqmt=e&hvrand=72425082959793058&hvtargid=kwd-424638816920&hydadcr=6068_2300330&keywords=amazon+garden+water+hoses&mcid=1b53e8db52953a5590d287c6537bac98&qid=1765305149&sr=8-43,,,
link,,,,405.0,"Mashki 1/2 Inch 3-Layered Braided Water Hose Pipe with Water Sprayer, Tap Connector & Clamps for Gardening, Car Washing, Home Use Etc (10 Meter)",/Mashki-3-Layered-Braided-Water-Pipe/dp/B0CSYQWGW5/ref=sr_1_45?adgrpid=155007102209&dib=eyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA&dib_tag=se&hvadid=668998325980&hvdev=c&hvlocphy=1007796&hvnetw=g&hvqmt=e&hvrand=72425082959793058&hvtargid=kwd-424638816920&hydadcr=6068_2300330&keywords=amazon+garden+water+hoses&mcid=1b53e8db52953a5590d287c6537bac98&qid=1765305149&sr=8-45,,,
link,,,,429.0,"TrustBasket Heavy Duty Highly Durable PVC Plain Green Braided Water Hose Pipe (10 Meter) with 7 Pattern Sprayer Gun & 3 Clamps (1/2 inch Pipe) - Easy to Connect for Home Gardening, Lawn, Car Wash",/TrustBasket-Heavy-Plain-Green-Braided/dp/B0862BD4J9/ref=sr_1_50?adgrpid=155007102209&dib=eyJ2IjoiMSJ9.8bT-peFPaW8kJ3efQne6POIcqGsZk_wlxXpzClkv0cR8m3pnni8twzAYFiBwZ19qKr1DkmHc4Gi_6LBHLNFzqM3JVhJaXd6G4tzbN0YmiHv5EWQEZFqS0JHLnt7NaYNVawCNyxOcQ7C58-eayf9aL_ABMiRnvfERxqr_TSztjXJCtorAe3w1gKHVmLF0-vDlx-XpvauREfUYzw7RjtJcyxune9F-kxu-NKKSzxwv2Xx9Gn_3P30f1mwNrfM-YrpTrW6mQ2cNb--p_ZI5cIVpYQg3TYpMRpACyzol4yqfwSQ.IoOKYxOS5bBwyZk6nAUEMld73DlguVganJpj28pxRUA&dib_tag=se&hvadid=668998325980&hvdev=c&hvlocphy=1007796&hvnetw=g&hvqmt=e&hvrand=72425082959793058&hvtargid=kwd-424638816920&hydadcr=6068_2300330&keywords=amazon+garden+water+hoses&mcid=1b53e8db52953a5590d287c6537bac98&qid=1765305149&sr=8-50,,,
link,,,,494.0,"Garbnoire 10 Meter 0.5 Inch PVC Yellow Water Pipe| Lightweight, Durable & Flexible| Hose with Accessories Connector & Clamps| Watering Garden, Cleaning, Outdoor-Indoor Use (10 Meter (32.80 Feet))",/sspa/click?ie=UTF8&spc=MToxODUxNTYwNDUxNTE2NzIzOjE3NjUzMDUxNDk6c3Bfc2VhcmNoX3RoZW1hdGljX2J0ZjozMDA2NzA5MTI1MjA5MzI6OjA6Og&url=%2FLightweight-Hose-Accessories-Connector-Outdoor-Indoor%2Fdp%2FB0794TNVDQ%2Fref%3Dsxbs_pa_sp_search_thematic_btf_sspa%3Fadgrpid%3D155007102209%26content-id%3Damzn1.sym.9b27384e-008a-4e4f-8d54-68a57c429828%253Aamzn1.sym.9b27384e-008a-4e4f-8d54-68a57c429828%26cv_ct_cx%3Damazon%2Bgarden%2Bwater%2Bhoses%26hvadid%3D668998325980%26hvdev%3Dc%26hvlocphy%3D1007796%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D72425082959793058%26hvtargid%3Dkwd-424638816920%26hydadcr%3D6068_2300330%26keywords%3Damazon%2Bgarden%2Bwater%2Bhoses%26mcid%3D1b53e8db52953a5590d287c6537bac98%26pd_rd_i%3DB0794TNVDQ%26pd_rd_r%3D329d49f4-2a06-47d2-9231-2aefd834f88c%26pd_rd_w%3D6xyKU%26pd_rd_wg%3De2ckS%26pf_rd_p%3D9b27384e-008a-4e4f-8d54-68a57c429828%26pf_rd_r%3DJ31VJCJBFRA4NBPQYJ64%26qid%3D1765305149%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-2907eac4-8056-42c7-8014-fdf7bd4c5395-spons%26aref%3Do3EmaROM8w%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWNfYnRm%26psc%3D1&aref=o3EmaROM8w&sp_cr=ZAZ,,,
image,,,,8.0,,,,https://m.media-amazon.com/images/I/71CoN7XO90L._AC_UL320_.jpg,"Sponsored Ad - Garbnoire 10 Meter 0.5 Inch PVC Yellow Water Pipe| Lightweight, Durable & Flexible| Hose with Accessories C..."
image,,,,9.0,,,,https://m.media-amazon.com/images/I/81lgm02T2rL._AC_UL320_.jpg,"Sponsored Ad - Cinagro 10 Meter 0.5 inch Heavy Duty 3 Layered Braided PVC Garden Hose Pipe with 8 Mode Spray Gun, Tap Adap..."
image,,,,14.0,,,,https://m.media-amazon.com/images/I/61ozJi2zU0L._AC_UL320_.jpg,Amazon Brand - Solimo 10 Meter - 0.5 Inch Width Heavy Duty PVC Water Hose Pipe with Connectors & Clamps – Ideal for Garde...
image,,,,15.0,,,,https://m.media-amazon.com/images/I/71CoN7XO90L._AC_UL320_.jpg,"Sponsored Ad - Garbnoire 10 Meter 0.5 Inch PVC Yellow Water Pipe| Lightweight, Durable & Flexible| Hose with Accessories C..."
image,,,,42.0,,,,https://m.media-amazon.com/images/I/51O++LceEGL._AC_UL320_.jpg,"Sponsored Ad - IFFCO URBAN GARDENS - Hose Pipe 10 Meter - 3-Layered Braided, UV Protective Garden Hose for Gardening - Kin..."
image,,,,61.0,,,,https://m.media-amazon.com/images/I/71MV64+C7bL._AC_UL320_.jpg,"Mashki 1/2 Inch Double Coated Water Pipe With Water Spray Gun For Gardening, Car Washing, Home Use Etc (10 Meter (32.5 Feet))"
image,,,,68.0,,,,https://m.media-amazon.com/images/I/81TECy0clJL._AC_UL320_.jpg,TrustBasket Heavy Duty Highly Durable PVC Plain Green Braided Water Hose Pipe (10 Meter) with 7 Pattern Sprayer Gun & 3 Cl...
image,,,,79.0,,,,https://m.media-amazon.com/images/I/71CoN7XO90L._AC_UL320_.jpg,"Sponsored Ad - Garbnoire 10 Meter 0.5 Inch PVC Yellow Water Pipe| Lightweight, Durable & Flexible| Hose with Accessories C..."
